lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.0347816500325036 27.485501568273285 5.37135551007563 0.034668887117241504 0.5915494392475533 0.2961745422597827 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.5071157364635557 32.52413639636179 8.586266957829345 0.1621503064166901 2.1914273027957347 1.33819188133388 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.483341844788856 31.532327365655185 8.074016943153554 0.10289198108764104 1.4229257550605385 0.8402147512972611 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.5090858573809065 34.30610154818651 9.52047936481838 0.5958526176871899 7.708443937214539 5.102399849193792 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.7443935492320195 36.36243730967058 10.863005757854399 0.3698167173959918 4.186693804596195 2.7509430979515863 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.797390752665975 39.108874177006776 11.533373065543438 0.8829221586703053 8.612033970417098 6.036522686559284 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.97715999385242 41.56917481685238 13.330339848635012 0.8881152760050145 8.597132723499277 6.4244580982940604 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.6036083825202314 35.2006085619193 9.762658111982256 0.381880165811391 3.326927188711204 2.705428663061283 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.442841453125459 31.783821113218302 8.110560116190355 0.13248081714929041 1.4577545275041632 0.9255910515078458 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.923908405122417 56.028324857203266 23.118799173375418 1.1493202294224214 13.675205848519894 10.594357052416017 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.368130085396822 31.415401469230652 7.7318551131750155 0.2582146588022899 2.146038943436262 1.5712466694475171 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.811805829956645 39.898524236033 11.796885902429327 0.8080404671343115 12.327735951039637 6.345494510462114 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.1369593998203404 44.68366393055843 14.490707386009593 0.9144026183440677 12.019589224113453 6.662747281862381 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.4779201293445574 32.854371167044036 8.647635391546787 0.3552884329791756 3.402213226713744 2.3438474695179927 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.3456478086567865 31.20518483959076 7.617487777940644 0.3954009666798986 2.944441901625522 2.2091634797523763 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.4412983846016294 31.691218811695602 8.067810857375367 0.15684479518406672 1.4759223402383606 0.9812215002305985 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.462568643706989 31.75833481325581 8.105956765667589 0.12362564890614468 1.6207774003853361 0.9327238078622996 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.4113575074665112 31.162045910504503 7.761835672860181 0.11883621364804087 1.4019342628847926 0.8637071064673414 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.433287942474708 31.222232886399887 7.84260336799287 0.15774712637330834 1.8630225056889427 1.1602290115891858 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.537010163468757 34.046636483993765 9.30419640287725 0.4276241144561207 4.211158726745838 2.99597872057221 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.607757336090905 35.414121343267276 9.980772495668884 0.6085339058168903 5.900807960941359 4.151460283155781 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.40525725931181 32.825618051653365 8.484918092233954 0.5648997146085623 6.323334914212677 4.214286652202609 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.876299669091918 39.185481679072545 12.791412232458033 0.8298786620081646 10.377013067278577 7.326882603802503 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.485714744297512 31.58847469619887 8.08427062150233 0.10980399025326741 1.3163350423704063 0.8209960046895292 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.1552207217510726 45.59361947716486 14.931369291785648 0.9592778371103172 8.501370021995694 7.181400525615886 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.4549112066740726 31.684372577463385 8.084927675417164 0.20956682571099158 2.270367887926814 1.439009328953725 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [1, 2, 3], 1, 0.001 2.404681123278794 31.072058284733338 7.685212568067787 0.22521269619524953 2.206717876331633 1.4144391936150877 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.418133742461706 31.328676602840943 7.847147786036544 0.13885768198211892 1.5866059813436835 0.9898873498906392 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.7209506773811043 37.20595388387933 10.484885507903915 0.5330648650240789 4.346495460982681 3.0477642181763125 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.3656113533228984 31.32667569307123 7.700338434767943 0.4363685482254572 3.4034945646735837 2.51941703818139 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [1, 2, 3], 1, 0.001 2.8994494676112232 39.47692376339612 12.02487579824984 0.664802140529523 10.198156370383682 5.3643551180599305 
