lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.2466119128451858 39.91850560285316 2.6023047804001975 0.019346020576110887 0.6398912929260809 0.06035132032743988 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.152702019053201 34.12782430232187 2.1422139991522777 0.051788651693479695 1.14432954488427 0.04847588374850459 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.015893926033405 31.29147651363114 1.7307750594945484 0.06022433068669979 1.7949947004681048 0.10889882878418468 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.0833666029351734 32.79867922888175 1.9552284757586789 0.07068473327860839 2.6393702922884046 0.20461213001668963 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.1393530444655982 32.14225454166565 2.030083028956939 0.04367142467118727 2.8798633422602338 0.138023471931581 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.1332073704167096 32.93671132414172 2.0437334289337397 0.028266717537393442 0.8251156288636591 0.06979945082726512 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.1983920724044934 34.13650657270416 2.0787513682516257 0.08034720530827363 4.3431764750934425 0.256382638338799 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.1575735927145514 34.59681524115363 2.0170163646116355 0.1150507795789482 3.8703201761254915 0.3427075568653986 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 1.2066215702125598 37.69690317547937 2.187411958088398 0.07714522411589092 2.006511146096441 0.20882207073174405 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.1287971927266982 32.567145239249584 1.956761675068278 0.09342209984155644 2.4391523421808206 0.19822407113733959 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.083698267877723 32.41992899139258 1.902866901885994 0.1343478528850477 2.1011360591565174 0.30384516006059 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.0185911620104753 30.013816791597154 1.6480132644436811 0.00393684746669669 0.8759861206185023 0.15339601642074113 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.1374081682862232 32.781469242780965 1.9427939892549704 0.1600299950016862 2.6658985324839115 0.3705786039247997 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.0689237332937342 30.133416956553607 1.8262608243839873 0.059077734287663435 2.2687585767534766 0.1703138895073076 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.0975713560116238 33.52303720927114 1.889274098044111 0.023142383674370732 0.8743987661408622 0.0679769895719885 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.025166226118044 31.714686497854036 1.7930561252777528 0.04230684313624436 0.9797740564875412 0.05292686125038699 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.1148438952518285 33.05673616163199 1.8648742581445727 0.09584419382744933 1.6766128050781435 0.2854572124021267 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.069360625329945 31.394472885389174 1.8528329898496076 0.04739888014407075 1.3272088118761352 0.12257957688029163 
