lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.3413714094225455 29.05011653198186 2.985431157518578 0.022684389173111386 2.9971958908985705 0.16898092484232544 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.2220422690182373 26.19625999271362 2.266841377743181 0.04382495820442528 1.2236462270835233 0.14021493491983716 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2830880986578348 25.77132140602295 2.5252686403415985 0.06067390991422783 2.4231123777538452 0.28135486469912835 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.2281026922200844 25.20305568009032 2.255802564752308 0.01578319070404102 0.7768887263090594 0.045304171110501355 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2337834921286064 25.887016327612077 2.335897595487442 0.026480553965530867 0.4672940024071923 0.12513684404667877 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.26940780463456 26.171199084707414 2.3136127243589173 0.017279953082023986 1.1236927386611248 0.03864522825998778 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2670367529857216 25.478992374246957 2.452927974323537 0.0337820558051067 1.6265401434697762 0.06450265624830875 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2708206523658225 25.155289804738825 2.37973284308746 0.05857750646325738 1.169725364166536 0.2060992837608871 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 1.1738490992191215 24.61180268874493 2.167251332074787 0.033801136404599114 0.7638727351123107 0.07575955000942405 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.249108690744335 25.97900403238373 2.4431688186363156 0.026538207040134817 0.17382686727554042 0.20239652216621096 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.175169661046109 23.751227419075366 2.116192335701584 0.05994607605535053 2.1921693966659705 0.1981978230061533 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.249127122671861 26.605845422512107 2.2195378102601584 0.06700420339063848 3.7619931120614454 0.1318212376768896 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.2631502080053367 26.17812303939442 2.390202680154494 0.028062978468042996 0.7119861372675569 0.15588456328331265 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2541184295003334 26.22246366362771 2.3667242180046277 0.04451046246594836 1.0182983642569705 0.1722028462069751 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2639949641535404 26.250350414658612 2.3591783891032727 0.04310473341583859 2.311937786792445 0.07254195987724318 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.2538120895175748 25.287066795764545 2.3432565044529645 0.020705174922849207 1.2194315474039343 0.06230208259725294 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.2221746925333585 25.60740279780505 2.1732109786045974 0.036116649365816225 1.3483975886952866 0.10955500608557822 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2326412455661708 26.32847363208897 2.2361529887340414 0.01848145211784509 1.2076988387385736 0.1391419005095748 
