lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.613434374667014 35.51340465934297 4.752376213984809 0.0666270158972618 0.6037363192235987 0.2640358050074097 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.7255427666042966 35.23306373985181 5.900271193509323 0.11574782723944829 1.4091916049621427 0.683905628557147 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.729729000706639 34.73721130838769 6.234460414339871 0.09445779062142672 4.468548650056149 0.559344726421743 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.75847922221378 35.09964763113003 6.054829493256299 0.16018660754033207 4.108870495284179 0.49026269563728747 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.8370772253825434 33.39326443573278 6.7293317503668355 0.15062861833571603 3.3479892216181493 0.46940937887253925 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.7719702703843787 31.845923223667466 6.573393023937214 0.09780073101848848 2.540568916779977 0.5148726777359539 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.8598661384993669 35.659135375115376 6.731223418283121 0.06397377063298403 0.8268404525246935 0.5997696319456086 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.694313419399851 32.04029655478852 5.8630572784858215 0.09987282983518238 1.999735436461074 0.5746008740579023 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 1.6668886976040618 29.22046727515409 6.399921774885157 0.029912800746161868 1.367052090094149 0.5152935191059446 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.7051828925049408 29.680438293790505 6.443857058971548 0.041812425809339006 3.5247498060927316 0.3962273213619231 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.615389918466961 31.724553290007265 5.600773136778439 0.05616519272075974 1.4834628863910644 0.521685847525249 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.7932563745899601 33.668162124176 6.019764243059762 0.08779077279946723 2.9531425094038712 0.21363097980796789 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.7239627122672063 30.368941173718728 6.427646918469423 0.04158482782767821 2.3998754629682715 0.19841784203337204 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.784043482408203 32.20206576671222 6.584987484835338 0.11268939118703826 1.0993364859179338 0.69215073572368 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.6123304723555012 31.168421557103358 5.6254410247293505 0.07582298616807882 1.71401274050123 0.4102480695456069 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.7233570591236151 33.0472365938214 5.769460757959867 0.09505721929718158 1.7886176370213906 0.9580157988172932 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.7844098026622774 32.17920662981476 6.707344558626876 0.07973847868785403 1.605208554713649 0.6523750445453661 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.6897053169862675 30.815491003101915 5.9709240176512814 0.04967502185929688 0.98821802636822 0.3274701180796729 
