lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.580488453615043 71.33447066968105 8.660471923017884 0.0791744377246433 0.9882911066323288 1.157536409938296 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.7180769735284978 71.00934844040125 10.612809058276872 0.10109913733467818 4.141320280740627 1.1425555868482438 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.714983209438484 68.23229064317393 10.42751157583154 0.2113953078854699 5.800386448029408 2.35848424081658 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.7489969188106005 72.45303087650517 10.8926575689522 0.0761598954344319 4.723977029559847 0.9085477758074918 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.935672725828847 79.32832842667017 12.905677441929331 0.19894335613864042 7.088432973561599 1.9478785991020642 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.712776835802252 69.45135401482132 10.479291323506908 0.10150006035951933 3.081948726484888 1.1935711930940702 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.738017199838672 69.88197167442067 10.753849818823545 0.04160943404081521 1.0450204133415046 0.5064409248736637 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.608048490085811 68.22017703060716 9.25862852962926 0.07290665980755225 3.026757896912958 0.7564843180947861 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.6328428959853394 71.1311825666721 9.482659477152882 0.12374707285335775 3.6957421191341933 1.6055510237758552 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.7483134510419847 70.95926160639667 10.90167991964484 0.06897096065257648 3.2419915026359725 0.8472170065553651 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.6347124584584876 67.97140690794035 9.519646850561173 0.11989744635241652 2.939006308856612 1.4314250541232731 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.6112904542874267 69.78627345826993 9.279000642739284 0.05861076415733553 2.608267243523363 0.7317712870746121 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.732342434399761 70.31061578199883 10.70108642048153 0.10757012137168204 4.001889533762399 1.2172591758230886 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.632659011948164 70.17162476057032 9.500125420610676 0.12708750576217448 3.759642145741857 1.532419087501594 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.705840696439975 71.59086814615667 10.415123731780145 0.1051143261752607 2.9640581586068677 1.2426888428540892 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.612192374178105 71.80822358893582 9.030417777193687 0.1178949717033235 5.324305474482117 1.5168226116904278 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.7223979207795734 73.44887466717557 10.662709917146284 0.15617893920901502 4.617489669627359 1.724820220479141 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.7620482123436196 75.6617906446663 11.0941595536266 0.13671504986701855 3.0413146597494443 1.4647645220930934 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.640655062961634 71.88938280959448 9.663804698673395 0.09480671880928594 4.760618423928734 1.174303483636263 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.783018768867822 71.99538838186805 11.330860586405553 0.06827625168575248 3.3415343643645747 0.7935865935050364 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.6162758563727966 68.16957231495778 9.37815459909235 0.06506147325474698 2.0110766725136204 0.7799508448526561 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.7897896531338082 73.78669858928912 11.115202738387058 0.23450149303893408 6.39646056223673 2.4670923247057432 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.6478588596407184 72.54964504155798 9.496082278688146 0.1419617261168016 4.6003816468894865 1.8269471691086694 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.6846399602511277 71.33659287598542 10.160980605930572 0.09878888725599037 2.2392837600104682 1.1794671848189044 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.7320295662624345 70.28812633330645 10.650234533105872 0.09208889101274274 1.7588055281011297 1.0705295791844276 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.784045046324738 72.14392203307574 11.389179441145274 0.07763866238706425 2.9135590257949766 0.7827924209962149 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [1, 2, 3], 1, 0.001 2.674680493430717 69.28937800811546 10.041804993899593 0.15061720073480317 5.605317303582703 1.6637134660642154 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.6929359249463647 72.75612028679647 10.25543293927456 0.12857895966370148 4.1323580860594475 1.5040100266681007 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.7342676615497714 70.72970329257592 10.730804485822675 0.11809523412511556 1.990157516401455 1.3001447261191492 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.7037863585176978 70.23889592597074 10.327597863630338 0.06692665537557692 2.0761764618489615 0.7671689532026565 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [1, 2, 3], 1, 0.001 2.6894960684926006 64.54174635922331 10.250133164071247 0.07710450532330299 3.4945550620718913 0.7869675522352547 
