lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.5062297295641016 37.77053577663124 3.7602536568756473 0.2146338036626152 4.488308483737496 0.9470669328958948 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.3954987921096664 32.862010036198654 3.164097016397458 0.14138716440631446 0.9116923114708666 0.40636929847093334 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.3420980554487973 32.04025372191261 2.892501003580199 0.06229300107471129 0.7445744366244712 0.27738760902628945 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.5239248816613802 35.76142198607298 4.002899232143339 0.36386264342502117 4.844643631823849 1.506730851409444 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.190350147309127 30.350860662257617 2.559468286281637 0.04425112039185194 0.608764210962322 0.1570963695442447 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.1839134139043315 30.449097474774344 2.463956516480052 0.04503454819026586 0.6354188365860266 0.052480041132409436 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2786073003102232 31.68447847065816 2.9319165416569306 0.029605115647011297 0.3475708296074818 0.031103521772282785 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.4773940935730943 34.88628276020123 3.5094569742956936 0.18735256400187716 2.8530597364720633 0.7002655623563565 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 1.6254967782232506 36.73865319167773 4.077154562861826 0.19693202312632815 2.470900505102877 0.8179226889122868 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.5308761368747115 35.59291076732305 3.724590970143718 0.3125038266400185 5.152140943123188 1.3217829695144367 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.4176166719860508 31.73131407212583 3.01511676047757 0.11035667297699969 1.5101724714699913 0.44568162055769445 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2648917541459752 31.549595071311725 2.770133750195303 0.08998206573572752 1.1371313524715516 0.2971012081014741 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.7434165872357514 39.32932068280687 4.77049599898697 0.13970991246533745 3.927571681045916 0.6869131999740532 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2617639427935636 32.30437084757148 2.7603854351188795 0.019126619831043093 0.3918269892649521 0.06676735843886306 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.5113128427554063 34.34734553846915 3.462719931288443 0.17137797986771075 1.6808228551405344 0.4907956366002259 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.231212328264007 29.782027142586912 2.6508659550019247 0.14968557801049107 2.493085125848139 0.3762847124420253 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.7307039991573057 38.02032788059736 4.671092932324527 0.3631882865767925 4.8417338818479045 1.408384768713303 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.6119199811308478 35.60151377072069 3.822784026016741 0.22667161921753168 1.2891766376994183 0.7494120880606836 
