lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.1654124813602753 28.02911376659664 2.5823315079833127 0.30389808898430193 6.25265770590316 0.7471428523156098 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 0.7261269133606995 18.023755227734103 1.2854593675436397 0.01919114052512 0.4509060951165132 0.07101882031033352 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 0.786258507485467 19.272481697447432 1.4161542149703432 0.016871429554097577 0.4062239747540925 0.08641066951624221 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 0.7304510111679082 17.628899940511914 1.133116707202532 0.04521891417352694 0.9571482021659795 0.1717571813989989 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 0.760155927569226 18.89034737189436 1.3237562314125713 0.042131737411738715 0.6438456298429318 0.09940230931148997 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 0.7292001529907187 18.030579755779197 1.2554772153690996 0.041834063743493695 1.0016156493477169 0.16926650629737974 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 0.755858574849036 18.584683851298454 1.322658688207443 0.022450557486858456 0.5059678327061613 0.05935680130006519 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 0.8373805135005606 20.25688023217432 1.5314389184430768 0.10039242887794082 1.6601948378680724 0.20577271918195916 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 0.8098214165824983 19.21166029998518 1.2646082327095023 0.043758598584101985 0.8129710441524255 0.0930343157678925 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 0.7264766575699603 17.748350930422077 1.2342297313166803 0.039111807370223885 0.7222988445328791 0.06429360090798245 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 0.7632905804103723 18.885659619662377 1.3812389469753799 0.025863998540962347 0.49018337674856816 0.07356571431190852 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 0.7417479739903854 18.321605659334256 1.2535029925686925 0.007601475502660778 0.47801201440786717 0.13235660767950314 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 0.7507756767139114 18.629023107110488 1.3088967107628209 0.059393105252393455 1.212730068822194 0.23062140558281197 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 0.7656470127196774 19.03489849894119 1.4263895545536818 0.026214132236841235 0.4241708876206776 0.06760256898116043 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 0.7748665962644199 19.22666526532565 1.3765070541159623 0.04353336791755279 0.6484546354798395 0.07764404325330714 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 0.7905444372652305 19.364768863458597 1.3826182841627055 0.015125662681064828 0.609284571135579 0.14936191041667038 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 0.7973444571097691 19.189738089145678 1.3324571760246389 0.06831380131978539 1.469088985649021 0.20059298288496405 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 0.7229503384480873 17.762873890546256 1.1307291463018265 0.06309576202565215 1.908802530369505 0.18755224223573413 
