lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.2576741451742472 20.905911673778842 2.4612200129488584 0.07888745067191497 0.9316423636781592 0.36582264072434945 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.1560137865168076 19.220916686961736 2.0111026303234802 0.12235492333362716 1.8361522230700655 0.30716664887138007 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2653915385681171 20.740786380985718 2.257197726151325 0.05274280192061855 0.9013215446176979 0.11941201431105766 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.2221102150777974 20.678752607696378 2.3560192100084127 0.017991402688708462 0.8518045640370842 0.16318730034958753 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2662722750670379 21.106320604782855 2.47252943924825 0.01509783867002237 0.20609931678706703 0.09622589766339083 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.2152543200110946 19.856188867691014 2.246243998399894 0.09641306423298461 0.7220953225192493 0.16501566708750282 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.251218654629257 20.20213015215162 2.25951455600001 0.013732693100474922 0.5055711600097783 0.08058673727056923 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2103795484536224 20.202138910042574 2.218205002358399 0.027818067367079792 0.9956559656969826 0.29556257913699946 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 1.3139558195239969 20.964612844389638 2.341336782848269 0.05262079758080426 0.7502826825662735 0.13545167380644435 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.3106036793578555 20.961599686177816 2.50920388368345 0.12304562978920446 0.8374874124552497 0.26669224055654683 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.2508696773537882 20.238524606604287 2.181976646653505 0.047301248152715934 0.38151495175921807 0.08313066587109887 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2327585168734743 20.627004543619407 2.372520528354388 0.07616872463804457 0.954931867143686 0.1116891057622094 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.275641349979021 20.94793868173387 2.3393557477608926 0.055782382742080146 0.9949279282062129 0.22606729711981535 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2558103279107147 21.15746694500103 2.420539857366162 0.09169801029938274 1.3028772683755405 0.2259218650956616 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2214036177429888 19.96284088341578 2.1733198175859854 0.07404648925965734 1.3391648940058773 0.2313019449239012 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.2309270902088392 19.992410855909508 2.274571677951887 0.09515710302006898 1.6368695249171412 0.2769901979925581 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.3621690718388113 21.245504503286305 2.4511514714239975 0.08120161549791227 0.800382568241038 0.14641220813510264 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2230197533689162 20.716966945215233 2.4110840573407373 0.07120005466568793 1.0167874101791463 0.24600203879406207 
