lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.9239225857304756 29.147091638886263 5.8117820793788395 0.220492654120045 3.2908502962957034 1.1674002740746146 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.0487576081865915 28.547258024116587 6.78950649482043 0.10998115446013526 1.4265104605517298 0.7415992324462607 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.0903134618713346 29.2323291003763 7.004581710143154 0.12771846521811756 2.8334542713007718 0.596350336441807 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 2.191302946603132 30.707974550399445 7.594442108523467 0.12011962285735954 1.5102846207109952 0.634304135465912 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.135570351710474 29.88970835695436 7.207311306903847 0.11920733647856174 2.002523231887806 0.7224450731007367 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.118291650298569 30.09958495191211 6.99736858775904 0.0691621444767415 1.3898074158055906 0.3092199418973694 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.0914659450175583 29.207814259891098 6.810119946273686 0.0965874171063622 1.2488544149915577 0.43290548603296236 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.0211138370481354 28.955291648350553 6.48610102839033 0.05327652034550233 0.7216449169002641 0.4127802068327473 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 2.0914940075327952 28.837816883424768 7.062151714221038 0.16091453629300065 1.9795725349496782 0.9214517537626089 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 2.0346959017355135 28.34995982137976 6.641868765047801 0.17408423341091828 2.6424116424864477 1.0444037153639525 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.0262750112003203 28.525810813233758 6.5478494756112475 0.13961021301729876 1.932235343043126 0.5833765074194379 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.4319211957907236 34.540569868285495 9.102760366120478 0.1598299257724975 2.053948420191171 1.0769630680778666 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.9988794261175726 27.63937322791355 6.5556796518885 0.12379303304379016 2.3915564551014774 0.6690347574733645 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.2490925348743245 31.95139828022884 7.7791010712785935 0.0353566617168612 0.622470586587393 0.26360937227912973 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.1947634756013197 31.602533570922457 7.551336421252793 0.02580754702829577 1.0079171506107996 0.3270244774410726 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.1166098569140392 30.72620823185684 7.131154456453507 0.07060548393400697 0.9215573855018664 0.28390150862591895 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 2.0903779978208514 29.780012161960638 6.89083986909423 0.08892007209015297 1.7197845231985436 0.43049682178153353 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.1607217009282773 30.658641151040133 7.366305379817245 0.11356633763779905 1.2930285787794242 0.6545983898030858 
