lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.296379799138858 51.99687729179527 7.251467194664886 0.09494723765531995 1.8015597122141833 0.8643583283808791 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 4.076002743182394 85.90011431110295 25.55424138363285 1.6267838386154985 32.98553693977057 17.118523786191492 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.5804846459423643 57.19009050696576 9.872281407882928 0.31877162864373737 6.988667115098042 2.2913356881867304 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 3.18708191072213 68.0679349774343 17.70200927940649 1.4165794131280196 27.971337828768018 16.432262631310444 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.43545744716621 53.850080697812835 8.876331240094224 0.1904301532093628 4.49108483681472 1.1819779968331627 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.507807550796136 74.3695417355859 20.927449012598867 1.560365383577995 31.976994222313138 15.935264323216169 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.444143181982278 74.03678367041816 18.05249836452308 1.1304401694818198 23.465151396645258 11.274939876806574 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.738352479370311 59.66457730143922 11.043905548633747 0.4515426486085543 9.460758676085707 3.2879936098421747 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.4113793825775174 53.25125435458132 8.73141005159778 0.21717640037183128 5.020565385767527 1.3968610915883166 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.9745479700495663 65.29182082978414 12.987467471391003 0.5231792641490874 11.783348366543251 3.6997560136109278 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.1173074684737387 66.94917885007253 15.095497577488237 1.4411448608275839 29.308285041531732 13.497433727707376 
