lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 1.2465882546785807 21.921443999853704 2.2293246746814614 0.26289273658482903 4.145453048390159 0.9643821407239365 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.137590424930332 18.91853812007163 1.7930677598906355 0.0289369873249628 0.5581116334329601 0.16630542877916552 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.327631561982411 24.09472437049361 2.427786130823069 0.04779825150357977 0.5873667882159356 0.11093769120087833 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.370150324171064 23.867303815003794 2.571075795528056 0.053399775080591814 1.6678435992051879 0.20397043855947034 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.257554845408433 22.014133730659296 2.155785696510239 0.11516917668372763 2.184857101503943 0.3809546046161096 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.2065921688866286 20.417449960375972 1.9351271210312733 0.04896347562068947 0.4537164532783571 0.12202997861990113 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2678005230509575 21.53075875049282 2.1643139304200947 0.05011231231711295 0.6204802447598193 0.10883021081780732 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.3379486011272228 23.14352734869178 2.3749461063867368 0.10026719606893952 1.9142858942945522 0.3791885579178716 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 1.3463147816075773 22.932715781520187 2.46507490850446 0.2547377180891597 4.770738109885841 0.9869964713543489 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.3531401576267352 23.222896036412404 2.481453219179414 0.07377100190024909 1.1830683308370276 0.29003844238579995 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.1624345237044273 20.575655970351367 1.8247640398078075 0.045982406940934646 0.9895925986931259 0.17729062921552674 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.2693727824354062 20.97008284580186 2.230082447952539 0.07208473221687417 1.347044771800958 0.2757632100019613 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.265865930411275 21.518298333419306 2.1946559322763495 0.023620402231731296 1.1316600336580858 0.1154382627339947 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.3389984224405553 23.351270094591683 2.449662035864946 0.052458974882559704 0.7173963328941576 0.16492098923450083 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 1.2294684424858406 20.486727874078777 1.9676423498939961 0.12463517960903957 2.949157283158246 0.39633059089026446 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 1.3130503132180487 21.711339997280096 2.285606129192585 0.06624318677805659 2.102958609573386 0.2614237362913064 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 1.249187749286217 21.179648601151523 2.0863522117414717 0.17096245973194418 2.632744221383631 0.5094233951357943 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 1.3535965999243438 22.906318656995424 2.449489301161851 0.03685529528121818 1.3019039692027965 0.14442421985187423 
