lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.6228404431872896 45.46113935935669 3.6278146733974452 0.08773734161913929 1.6743916292008394 0.5377456796812004 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.488552353004752 72.36951439789944 9.160318054130121 0.17084215475068407 9.383991442432345 1.1047494397270796 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9537633887264463 58.7871176173163 5.752185772117798 0.4204680276548616 17.173332633321564 2.6142424706803613 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.7842241755479735 79.48642117706413 12.703547149844626 0.9283829602357818 27.88040512014053 7.483392275629552 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.8344436357039267 51.99064731185435 4.984945781872281 0.06559015639421628 3.9060990314158315 0.4333589317510604 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9254483157561881 59.881583768997224 5.586839067062635 0.3681880458081777 15.81654947866052 2.3739536625775144 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.734652935774238 56.89512402427913 4.509201478680231 0.17609968276794527 9.257424918435834 1.0309387042593046 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.6180452775720642 47.84112440358725 3.7571279968584377 0.07830334376534677 1.8981158863495662 0.4355336293644013 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.6947140655839057 50.93108015082621 4.182939951265502 0.0437226179647614 3.2509682174077508 0.3034722390735726 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1547355813298514 64.29502982629609 7.235326586864666 0.6150666561081283 21.927440786362336 4.330197897661184 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.566783807989624 45.74424675867475 3.407210842881189 0.051284754451623275 0.5061866219763983 0.3060711098209661 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.0717826606174583 62.67467015918262 6.501760334354472 0.4468523211504153 16.661349353174007 2.9077230156083202 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.6330398621630886 75.0315529648602 10.6567888451284 0.9304169629260389 35.11989758987187 6.783956471435499 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.0236084226946587 64.15946175367057 6.604623386869671 0.7331496886521109 24.323234077157316 5.1375960208674725 
