lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.184200271927234 34.87485009588324 6.457811097670488 0.02983074195498641 0.24397294486433674 0.10254786001425242 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.182328046698675 35.09329102157588 6.508364661040557 0.09479288364145057 0.4225198142954879 0.371918936576238 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.153125204130455 34.90031169136337 6.360349119404292 0.03347655489033882 0.21662893991655768 0.10942402520262404 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1398961820669338 34.91354504257559 6.318204192140447 0.015356560057153213 0.21256752910540688 0.06070329185585488 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.127802778887666 35.00436482765852 6.288778375439252 0.020103599367603177 0.20555490579799027 0.07425494816897922 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1977802462337057 35.27501245702214 6.572327175246846 0.10601987038709652 0.3171307932256598 0.3458345137767969 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1863218047166315 34.9915264494048 6.501064523637 0.07024557885427313 0.23724358161798215 0.26531603846754487 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.173891596077424 35.265881714323555 6.488658036820087 0.07131369481480193 0.2376331577582967 0.2688457984542359 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.153178951366287 34.890129168256706 6.36031158343243 0.015281464465386328 0.2566227371305031 0.08602347154546448 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.184777892279818 35.10392896597985 6.490719483915164 0.017809774646448572 0.33873353768736725 0.041281948227274975 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1384222371661687 34.98102674567131 6.325700149187907 0.029352588692565598 0.19062900740537497 0.11692226747132022 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.155634582902822 34.919867972748634 6.365987949403649 0.03625123893254448 0.21111337058843946 0.11474059768431821 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1967981597505237 35.02386371965156 6.525259875576981 0.049079232444273105 0.298233744354851 0.15341583300814554 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.198498810866572 35.4037807838712 6.618227182993325 0.07526396958512521 0.38089623661507455 0.2790649551648942 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.162631867894903 35.03949050781883 6.425509166828294 0.029793057403778477 0.5273200159548282 0.17689614009128546 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1473192859787353 35.14053812384202 6.377672203348634 0.017462668212494238 0.4671468834611661 0.12416921625724965 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1645921047647243 34.916500322230206 6.400101468958502 0.02837443832005756 0.38892587729177075 0.0892203793154741 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1448902185415775 35.29834774792441 6.38676718219631 0.03661389806172069 0.3871859626945631 0.13555968556342934 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.135558524835579 35.466165737047355 6.3806859739548 0.03787910623250057 0.39584996794533955 0.1575737142613553 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.2138782449855854 35.2277043870484 6.6466150213804625 0.06344241456633275 0.45486425401480196 0.22845929734104695 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2193981309691098 35.880567213727424 6.791774603401687 0.04394653819125145 0.8502270739852948 0.36058893821145804 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.164612394359101 35.02965462685385 6.410278592984122 0.024218196384749893 0.25738915994981965 0.07715610086096829 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.144620777098462 35.088879843996075 6.36100956269601 0.03761877394596519 0.3400402640752462 0.14875781535806498 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.208521342801482 35.389840901607826 6.691027694201895 0.11718339793651607 0.6689144755650377 0.5450373434720407 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.180512055249333 34.92574192494599 6.451756334422557 0.018872203254220236 0.2073877818636586 0.07196687235826586 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.167392020876692 34.94055332368164 6.415624477273366 0.018318708228111172 0.34318632341580213 0.09843623664102955 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [1, 2, 3], 1, 0.001 2.1685523797095647 34.8914323804619 6.419972454055076 0.03431528794047286 0.21517292262285484 0.14554069033243167 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1434615798969925 35.18760694366222 6.361786620010262 0.02548695083785627 0.3443434382289367 0.09828862312350743 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1985641508844713 35.21007803544997 6.561578374554259 0.020800373737775598 0.4604195297798336 0.07024619226521463 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.181761630286842 34.97555217719618 6.470959882796383 0.031050623578178154 0.29710056549744657 0.14745645293796786 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [1, 2, 3], 1, 0.001 2.1926006335177357 35.03171745142168 6.519260571404464 0.056712924985905126 0.20335211634405734 0.23040306948694594 
